microcolony.num,og.col,treatment,start.date,num.dead,brood.produced,first.brood.date,pollen.given,larval.ejection,date.first.male,num.males,end.num.workers,total.offspring,male.avg.size,fat.content.avg,worker.avg.size,end.date,cage.type,notes
35,brd1,control,2023-05-12,1,yes,2023-05-15,5,1,2023-06-14,5,5,20,0.2082,,0.211,2023-06-26,queen cage,
36,brd2,control,2023-05-12,1,yes,2023-05-19,4,4,2023-06-19,2,5,5,0.215,,0.239,2023-06-26,queen cage,
37,brd1,control,2023-05-12,1,yes,2023-05-15,5,6,2023-06-19,4,5,14,0.2283,,0.2426,2023-06-26,queen cage,
38,brd2,control,2023-05-12,0,yes,2023-05-15,5,17,,0,6,9,,,0.21933,2023-06-26,queen cage,
39,brd1,control,2023-05-12,1,yes,2023-05-15,5,3,2023-06-19,2,5,12,0.2285,,0.2214,2023-06-26,queen cage,
40,brd2,control,2023-05-12,0,yes,2023-05-19,5,6,2023-06-19,4,6,32,0.214,,0.24733,2023-06-26,queen cage,
41,brd1,control,2023-05-12,1,yes,2023-05-15,6,5,2023-06-14,5,5,27,0.21975,,0.2362,2023-06-26,queen cage,
42,brd2,control,2023-05-12,1,yes,2023-05-19,4,8,2023-06-23,2,5,26,0.2285,,0.2298,2023-06-26,queen cage,
43,brd1,blue,2023-05-12,0,yes,2023-05-15,6,2,2023-06-12,4,6,18,0.252,,0.2184,2023-06-26,queen cage,
44,brd2,blue,2023-05-12,2,yes,2023-05-19,5,1,,0,4,2,,,0.23775,2023-06-26,queen cage,
45,brd1,blue,2023-05-12,1,yes,2023-05-15,6,5,2023-06-12,3,5,36,0.24966667,,0.2454,2023-06-26,queen cage,
46,brd2,blue,2023-05-12,0,yes,2023-05-22,5,6,2023-06-23,2,6,20,,,0.21433,2023-06-26,queen cage,
47,brd1,blue,2023-05-12,2,yes,2023-05-15,5,0,,0,4,13,,,0.19875,2023-06-26,queen cage,
48,brd2,blue,2023-05-12,1,yes,2023-05-19,5,0,2023-06-19,2,5,12,0.233,,0.2192,2023-06-26,queen cage,
49,brd1,pink,2023-05-12,1,yes,2023-05-15,5,0,,0,5,9,,,0.2204,2023-06-26,queen cage,
50,brd2,pink,2023-05-12,0,yes,2023-05-15,5,5,2023-06-21,3,6,19,0.209,,0.212,2023-06-26,queen cage,
51,brd1,pink,2023-05-12,1,yes,2023-05-15,4,1,,0,5,11,,,0.195,2023-06-26,queen cage,
52,brd2,pink,2023-05-12,0,yes,2023-05-17,5,5,,2,6,24,0.2005,,0.232667,2023-06-26,queen cage,
